,alpha,mu,omega,logposterior
360,0.045231733,1.062508,0.644471,-1970.6676025390625
361,0.044934325,1.0539751,0.6481711,-1970.312255859375
362,0.044934325,1.0539751,0.6481711,-1969.1187744140625
363,0.044934325,1.0539751,0.6481711,-1969.7261962890625
364,0.044934325,1.0539751,0.6481711,-1969.336181640625
365,0.043819055,1.0496835,0.6528838,-1969.9151611328125
366,0.043255933,1.0562017,0.6494254,-1968.4166259765625
367,0.04332131,1.0354123,0.6465622,-1968.638427734375
368,0.043662824,1.0356231,0.64233524,-1969.294677734375
369,0.04460548,1.0298994,0.64927393,-1969.63916015625
370,0.04530182,1.0346631,0.64903337,-1969.9814453125
371,0.04530182,1.0346631,0.64903337,-1970.667724609375
372,0.04530182,1.0346631,0.64903337,-1971.6231689453125
373,0.04530182,1.0346631,0.64903337,-1971.1112060546875
374,0.045131188,1.0418735,0.6490686,-1969.5819091796875
375,0.044701274,1.0470232,0.63843936,-1971.552001953125
376,0.044701274,1.0470232,0.63843936,-1971.4150390625
377,0.044701274,1.0470232,0.63843936,-1971.1751708984375
378,0.044826478,1.0497073,0.64405876,-1969.9202880859375
379,0.044946954,1.0523132,0.64654326,-1970.1624755859375
380,0.044946954,1.0523132,0.64654326,-1969.851806640625
381,0.044883016,1.0516963,0.64963096,-1970.2044677734375
382,0.044883016,1.0516963,0.64963096,-1969.675048828125
383,0.044883016,1.0516963,0.64963096,-1969.3846435546875
384,0.044883016,1.0516963,0.64963096,-1970.172607421875
385,0.044883016,1.0516963,0.64963096,-1969.9674072265625
386,0.04494655,1.0684152,0.6428125,-1971.1414794921875
387,0.04511192,1.057748,0.6552497,-1968.731201171875
388,0.04511192,1.057748,0.6552497,-1969.0950927734375
389,0.04511192,1.057748,0.6552497,-1970.2335205078125
390,0.04511192,1.057748,0.6552497,-1968.719482421875
391,0.04511192,1.057748,0.6552497,-1969.5589599609375
392,0.04511192,1.057748,0.6552497,-1969.1141357421875
393,0.04511192,1.057748,0.6552497,-1968.421630859375
394,0.04511192,1.057748,0.6552497,-1969.2379150390625
395,0.045495134,1.0449991,0.64413446,-1970.367919921875
396,0.04529343,1.0567478,0.6404406,-1971.0972900390625
397,0.04529343,1.0567478,0.6404406,-1971.55859375
398,0.04529343,1.0567478,0.6404406,-1971.120361328125
399,0.04560707,1.0610939,0.65324676,-1971.478271484375
400,0.04560707,1.0610939,0.65324676,-1969.829833984375
401,0.04560707,1.0610939,0.65324676,-1969.9000244140625
402,0.04560707,1.0610939,0.65324676,-1969.5482177734375
403,0.04560707,1.0610939,0.65324676,-1969.3076171875
404,0.045992937,1.056977,0.66868454,-1968.421630859375
405,0.045992937,1.056977,0.66868454,-1968.0233154296875
406,0.04614836,1.0647414,0.66228735,-1975.119873046875
407,0.04614836,1.0647414,0.66228735,-1968.7720947265625
408,0.04614836,1.0647414,0.66228735,-1970.5367431640625
409,0.046151217,1.0814011,0.6590603,-1970.396240234375
410,0.046764735,1.1050922,0.6648165,-1969.878173828125
411,0.047408834,1.1096364,0.6750565,-1968.9549560546875
412,0.047408834,1.1096364,0.6750565,-1967.6107177734375
413,0.047408834,1.1096364,0.6750565,-1967.938720703125
414,0.04739802,1.1223363,0.68590784,-1967.7703857421875
415,0.047279615,1.12367,0.6768858,-1968.249267578125
416,0.04728194,1.1088797,0.6740023,-1967.7794189453125
417,0.04739174,1.1284357,0.68002933,-1967.120361328125
418,0.04761606,1.12707,0.6805531,-1968.3521728515625
419,0.04747479,1.1267787,0.68037426,-1967.3740234375
420,0.04747479,1.1267787,0.68037426,-1966.1680908203125
421,0.047032487,1.1193607,0.68944734,-1965.77490234375
422,0.04827094,1.1314223,0.6851284,-1966.602294921875
423,0.04827094,1.1314223,0.6851284,-1966.08349609375
424,0.04838883,1.1371499,0.6781693,-1966.364501953125
425,0.04838883,1.1371499,0.6781693,-1968.144775390625
426,0.04901395,1.1334845,0.68725824,-1969.3416748046875
427,0.049135145,1.1358372,0.6815063,-1969.13525390625
428,0.049135145,1.1358372,0.6815063,-1967.1268310546875
429,0.049135145,1.1358372,0.6815063,-1968.2008056640625
430,0.049135145,1.1358372,0.6815063,-1968.35791015625
431,0.049135145,1.1358372,0.6815063,-1968.020751953125
432,0.049368374,1.1400774,0.6778668,-1968.3890380859375
433,0.049949635,1.141387,0.67943776,-1970.2144775390625
434,0.050831478,1.1323566,0.67419845,-1970.62158203125
435,0.050831478,1.1323566,0.67419845,-1971.562255859375
436,0.050831478,1.1323566,0.67419845,-1970.9063720703125
437,0.05203938,1.1208179,0.6769071,-1971.9154052734375
438,0.05203938,1.1208179,0.6769071,-1972.256591796875
439,0.05203938,1.1208179,0.6769071,-1972.8988037109375
440,0.05202808,1.1077766,0.68046546,-1970.6910400390625
441,0.05157448,1.1159484,0.67306757,-1973.613037109375
442,0.05157448,1.1159484,0.67306757,-1974.2203369140625
443,0.05157448,1.1159484,0.67306757,-1973.191650390625
444,0.051411882,1.1353353,0.67123646,-1973.406982421875
445,0.050977275,1.1599052,0.6808529,-1970.0936279296875
446,0.05000794,1.1604762,0.70258725,-1969.056396484375
447,0.05000794,1.1604762,0.70258725,-1976.9915771484375
448,0.05000794,1.1604762,0.70258725,-1967.193359375
449,0.04966864,1.164066,0.70733607,-1972.5526123046875
450,0.04966864,1.164066,0.70733607,-1974.1185302734375
451,0.04966864,1.164066,0.70733607,-1968.8094482421875
452,0.04966864,1.164066,0.70733607,-1967.765380859375
