idx,alpha,mu,omega,loglike
161,0.01,0.56,0.46153846153846156,1.4203992936756355e+21
162,0.01,0.56,0.5,1.4203992936756355e+21
163,0.01,0.56,0.5384615384615385,1.4480694097861998e+21
164,0.01,0.56,0.576923076923077,1.4203992936756355e+21
165,0.01,0.56,0.6153846153846154,1.4203992936756355e+21
166,0.01,0.56,0.6538461538461539,-inf
167,0.01,0.56,0.6923076923076923,-inf
168,0.01,0.56,0.7307692307692308,-inf
169,0.01,0.56,0.7692307692307693,-inf
170,0.01,0.56,0.8076923076923077,-inf
171,0.01,0.56,0.8461538461538463,-inf
172,0.01,0.56,0.8846153846153847,-inf
173,0.01,0.56,0.9230769230769231,-inf
174,0.01,0.56,0.9615384615384616,-inf
175,0.01,0.64,0.038461538461538464,1.4203992936756355e+21
176,0.01,0.64,0.07692307692307693,1.4203992936756355e+21
177,0.01,0.64,0.11538461538461539,1.4203992936756355e+21
178,0.01,0.64,0.15384615384615385,1.4203992936756355e+21
179,0.01,0.64,0.19230769230769232,1.4203992936756355e+21
180,0.01,0.64,0.23076923076923078,1.4203992936756355e+21
181,0.01,0.64,0.2692307692307693,1.4203992936756355e+21
182,0.01,0.64,0.3076923076923077,1.4203992936756355e+21
183,0.01,0.64,0.34615384615384615,1.4480694097861998e+21
184,0.01,0.64,0.38461538461538464,1.4480694097861998e+21
185,0.01,0.64,0.42307692307692313,1.4480694097861998e+21
186,0.01,0.64,0.46153846153846156,1.4203992936756355e+21
187,0.01,0.64,0.5,1.4203992936756355e+21
188,0.01,0.64,0.5384615384615385,1.4203992936756355e+21
189,0.01,0.64,0.576923076923077,1.4203992936756355e+21
190,0.01,0.64,0.6153846153846154,1.4203992936756355e+21
191,0.01,0.64,0.6538461538461539,1.4480694097861998e+21
192,0.01,0.64,0.6923076923076923,1.4480694097861998e+21
193,0.01,0.64,0.7307692307692308,1.4480694097861998e+21
194,0.01,0.64,0.7692307692307693,1.4480694097861998e+21
195,0.01,0.64,0.8076923076923077,-inf
196,0.01,0.64,0.8461538461538463,-inf
197,0.01,0.64,0.8846153846153847,-inf
198,0.01,0.64,0.9230769230769231,-inf
199,0.01,0.64,0.9615384615384616,-inf
200,0.01,0.72,0.038461538461538464,1.4203992936756355e+21
201,0.01,0.72,0.07692307692307693,1.4203992936756355e+21
202,0.01,0.72,0.11538461538461539,1.4203992936756355e+21
203,0.01,0.72,0.15384615384615385,1.4203992936756355e+21
